Date,"Betelgeuse"
2018-02-01,1989
2018-02-02,1958
2018-02-03,1849
2018-02-04,1837
2018-02-05,1919
2018-02-06,2349
2018-02-07,1938
2018-02-08,1751
2018-02-09,1960
2018-02-10,1864
2018-02-11,1776
2018-02-12,2239
2018-02-13,2150
2018-02-14,1992
2018-02-15,1912
2018-02-16,1644
2018-02-17,1798
2018-02-18,1721
2018-02-19,2016
2018-02-20,1784
2018-02-21,2182
2018-02-22,2017
2018-02-23,1865
2018-02-24,1920
2018-02-25,1912
2018-02-26,2114
2018-02-27,2290
2018-02-28,1867
2018-03-01,1718
2018-03-02,1651
2018-03-03,1650
2018-03-04,1752
2018-03-05,1784
2018-03-06,1933
2018-03-07,1828
2018-03-08,9492
2018-03-09,7065
2018-03-10,1962
2018-03-11,3008
2018-03-12,2201
2018-03-13,2030
2018-03-14,1990
2018-03-15,1805
2018-03-16,1687
2018-03-17,2232
2018-03-18,1871
2018-03-19,1923
2018-03-20,1974
2018-03-21,2629
2018-03-22,1900
2018-03-23,1858
2018-03-24,1614
2018-03-25,1557
2018-03-26,1679
2018-03-27,1575
2018-03-28,1714
2018-03-29,1737
2018-03-30,2359
2018-03-31,1769
2018-04-01,1823
2018-04-02,2003
2018-04-03,2236
2018-04-04,1950
2018-04-05,1916
2018-04-06,1645
2018-04-07,1401
2018-04-08,1540
2018-04-09,1673
2018-04-10,1490
2018-04-11,1734
2018-04-12,1652
2018-04-13,1510
2018-04-14,1314
2018-04-15,1486
2018-04-16,1514
2018-04-17,1540
2018-04-18,1516
2018-04-19,1637
2018-04-20,1586
2018-04-21,1411
2018-04-22,1455
2018-04-23,1599
2018-04-24,1391
2018-04-25,1472
2018-04-26,1333
2018-04-27,1290
2018-04-28,1040
2018-04-29,1177
2018-04-30,1416
2018-05-01,1408
2018-05-02,1389
2018-05-03,1453
2018-05-04,1362
2018-05-05,1103
2018-05-06,1172
2018-05-07,1329
2018-05-08,1506
2018-05-09,1541
2018-05-10,1291
2018-05-11,1242
2018-05-12,1377
2018-05-13,1149
2018-05-14,1189
2018-05-15,1350
2018-05-16,1243
2018-05-17,1402
2018-05-18,1345
2018-05-19,1047
2018-05-20,1073
2018-05-21,1224
2018-05-22,1263
2018-05-23,1179
2018-05-24,1180
2018-05-25,981
2018-05-26,981
2018-05-27,951
2018-05-28,1413
2018-05-29,1128
2018-05-30,1473
2018-05-31,1482
2018-06-01,1060
2018-06-02,1072
2018-06-03,1318
2018-06-04,1350
2018-06-05,1165
2018-06-06,1090
2018-06-07,1136
2018-06-08,944
2018-06-09,1415
2018-06-10,1193
2018-06-11,1099
2018-06-12,1388
2018-06-13,1148
2018-06-14,1052
2018-06-15,1152
2018-06-16,958
2018-06-17,1654
2018-06-18,1034
2018-06-19,1038
2018-06-20,1279
2018-06-21,1348
2018-06-22,1160
2018-06-23,1005
2018-06-24,1130
2018-06-25,975
2018-06-26,1054
2018-06-27,914
2018-06-28,913
2018-06-29,1003
2018-06-30,905
2018-07-01,863
2018-07-02,990
2018-07-03,1006
2018-07-04,1131
2018-07-05,976
2018-07-06,1011
2018-07-07,922
2018-07-08,1294
2018-07-09,1091
2018-07-10,1053
2018-07-11,957
2018-07-12,1028
2018-07-13,1007
2018-07-14,981
2018-07-15,1001
2018-07-16,1101
2018-07-17,1054
2018-07-18,1089
2018-07-19,1079
2018-07-20,1274
2018-07-21,971
2018-07-22,5021
2018-07-23,1148
2018-07-24,1182
2018-07-25,1082
2018-07-26,1083
2018-07-27,1338
2018-07-28,1157
2018-07-29,1162
2018-07-30,1388
2018-07-31,1273
2018-08-01,1092
2018-08-02,1054
2018-08-03,1063
2018-08-04,1022
2018-08-05,1311
2018-08-06,1841
2018-08-07,1236
2018-08-08,1133
2018-08-09,1116
2018-08-10,1198
2018-08-11,1367
2018-08-12,1278
2018-08-13,1671
2018-08-14,1158
2018-08-15,1113
2018-08-16,1184
2018-08-17,1176
2018-08-18,1104
2018-08-19,1404
2018-08-20,1167
2018-08-21,1171
2018-08-22,1313
2018-08-23,1381
2018-08-24,1289
2018-08-25,1027
2018-08-26,1114
2018-08-27,1531
2018-08-28,1290
2018-08-29,1301
2018-08-30,1377
2018-08-31,1140
2018-09-01,1083
2018-09-02,1128
2018-09-03,1269
2018-09-04,1311
2018-09-05,1239
2018-09-06,1295
2018-09-07,1318
2018-09-08,1156
2018-09-09,1101
2018-09-10,1564
2018-09-11,1147
2018-09-12,1273
2018-09-13,1263
2018-09-14,1139
2018-09-15,1132
2018-09-16,1259
2018-09-17,1298
2018-09-18,1327
2018-09-19,1235
2018-09-20,1294
2018-09-21,1154
2018-09-22,964
2018-09-23,1690
2018-09-24,1887
2018-09-25,1209
2018-09-26,1761
2018-09-27,1242
2018-09-28,1172
2018-09-29,1082
2018-09-30,1099
2018-10-01,1288
2018-10-02,1280
2018-10-03,1299
2018-10-04,1252
2018-10-05,1301
2018-10-06,1117
2018-10-07,1117
2018-10-08,1269
2018-10-09,1378
2018-10-10,1314
2018-10-11,3062
2018-10-12,2345
2018-10-13,1366
2018-10-14,1560
2018-10-15,1713
2018-10-16,1662
2018-10-17,1719
2018-10-18,1885
2018-10-19,1646
